,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,524.0,57771.0,57771.0
2,367.0,40461.75,40461.75
3,336.0,37044.0,37044.0
4,280.0,30870.0,30870.0
5,276.0,30429.0,30429.0
6,314.0,34618.5,34618.5
7,280.0,30870.0,30870.0
8,429.0,47297.25,47297.25
9,420.0,46305.0,46305.0
10,528.0,58212.0,58212.0
11,550.0,60637.5,60637.5
12,727.0,80151.75,80151.75
13,805.0,88751.25,88751.25
14,731.0,80592.75,80592.75
15,877.0,96689.25,96689.25
16,1014.0,111793.5,111793.5
17,1125.0,124031.25,124031.25
18,1231.0,135717.75,135717.75
19,1487.0,163941.75,163941.75
20,1554.0,171328.5,171328.5
21,1458.0,160744.5,160744.5
22,1196.0,131859.0,131859.0
23,1067.0,117636.75,117636.75
24,1308.0,144207.0,144207.0
25,1407.0,155121.75,155121.75
26,1291.0,142332.75,142332.75
27,1207.0,133071.75,133071.75
28,1310.0,144427.5,144427.5
29,912.0,100548.0,100548.0
30,791.0,87207.75,87207.75
31,750.0,82687.5,82687.5
32,653.0,71993.25,71993.25
33,556.0,61299.0,61299.0
34,569.0,62732.25,62732.25
35,494.0,54463.5,54463.5
36,426.0,46966.5,46966.5
