,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,34,3748.5,0.0
14,0,49,5402.25,0.0
15,6,74,8158.5,661.5
16,10,227,25026.75,1102.5
17,46,646,71221.5,5071.5
18,83,2580,284445.0,9150.75
19,436,8746,964246.5,48069.0
20,1720,27296,3009384.0,189630.0
21,5014,81918,9031459.5,552793.5
22,13591,213292,23515443.0,1498407.75
23,35055,536417,59139974.25,3864813.75
24,81795,1180032,130098528.0,9017898.75
25,162311,2444430,269498407.5,17894787.75
26,135953,2488751,274384797.75,14988818.25
27,58731,1166000,128551500.0,6475092.75
28,26493,564657,62253434.25,2920853.25
29,11193,239980,26457795.0,1234028.25
30,4783,97924,10796121.0,527325.75
31,1441,34456,3798774.0,158870.25
32,475,10891,1200732.75,52368.75
33,116,3462,381685.5,12789.0
34,35,1138,125464.5,3858.75
35,2,385,42446.25,220.5
36,4,128,14112.0,441.0
37,0,27,2976.75,0.0
38,0,30,3307.5,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
