,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,6,661.5,0.0
15,3,35,3858.75,330.75
16,0,64,7056.0,0.0
17,13,273,30098.25,1433.25
18,38,651,71772.75,4189.5
19,74,2348,258867.0,8158.5
20,332,7759,855429.75,36603.0
21,1108,28884,3184461.0,122157.0
22,3626,97367,10734711.75,399766.5
23,12624,338821,37355015.25,1391796.0
24,47764,1095822,120814375.5,5265981.0
25,144852,2659425,293201606.25,15969933.0
26,208567,3151937,347501054.25,22994511.75
27,85361,1217849,134267852.25,9411050.25
28,25569,368760,40655790.0,2818982.25
29,6884,96503,10639455.75,758961.0
30,1755,26463,2917545.75,193488.75
31,489,7369,812432.25,53912.25
32,163,2167,238911.75,17970.75
33,39,716,78939.0,4299.75
34,20,236,26019.0,2205.0
35,6,84,9261.0,661.5
36,6,16,1764.0,661.5
37,0,0,0.0,0.0
38,0,9,992.25,0.0
39,0,0,0.0,0.0
40,0,6,661.5,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
