,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,9.0,992.25,992.25
19,10.0,1102.5,1102.5
20,10.0,1102.5,1102.5
21,74.0,8158.5,8158.5
22,246.0,27121.5,27121.5
23,840.0,92610.0,92610.0
24,2996.0,330309.0,330309.0
25,11049.0,1218152.25,1218152.25
26,32500.0,3583125.0,3583125.0
27,46319.0,5106669.75,5106669.75
28,19707.0,2172696.75,2172696.75
29,6121.0,674840.25,674840.25
30,1674.0,184558.5,184558.5
31,504.0,55566.0,55566.0
32,159.0,17529.75,17529.75
33,31.0,3417.75,3417.75
34,10.0,1102.5,1102.5
35,6.0,661.5,661.5
36,0.0,0.0,0.0
37,6.0,661.5,661.5
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
