,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,4.0,441.0,441.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,3.0,330.75,330.75
12,4.0,441.0,441.0
13,4.0,441.0,441.0
14,11.0,1212.75,1212.75
15,15.0,1653.75,1653.75
16,12.0,1323.0,1323.0
17,64.0,7056.0,7056.0
18,111.0,12237.75,12237.75
19,233.0,25688.25,25688.25
20,408.0,44982.0,44982.0
21,809.0,89192.25,89192.25
22,2406.0,265261.5,265261.5
23,3642.0,401530.5,401530.5
24,7922.0,873400.5,873400.5
25,10337.0,1139654.25,1139654.25
26,15176.0,1673154.0,1673154.0
27,25073.0,2764298.25,2764298.25
28,15520.0,1711080.0,1711080.0
29,13143.0,1449015.75,1449015.75
30,4820.0,531405.0,531405.0
31,4106.0,452686.5,452686.5
32,1434.0,158098.5,158098.5
33,784.0,86436.0,86436.0
34,348.0,38367.0,38367.0
35,159.0,17529.75,17529.75
36,128.0,14112.0,14112.0
37,59.0,6504.75,6504.75
38,22.0,2425.5,2425.5
39,1.0,110.25,110.25
40,7.0,771.75,771.75
41,9.0,992.25,992.25
42,0.0,0.0,0.0
43,2.0,220.5,220.5
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,6.0,661.5,661.5
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
