,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,2.0,220.5,220.5
3,8.0,882.0,882.0
4,36.0,3969.0,3969.0
5,50.0,5512.5,5512.5
6,61.0,6725.25,6725.25
7,109.0,12017.25,12017.25
8,140.0,15435.0,15435.0
9,138.0,15214.5,15214.5
10,176.0,19404.0,19404.0
11,170.0,18742.5,18742.5
12,226.0,24916.5,24916.5
13,192.0,21168.0,21168.0
14,266.0,29326.5,29326.5
15,296.0,32634.0,32634.0
16,402.0,44320.5,44320.5
17,354.0,39028.5,39028.5
18,438.0,48289.5,48289.5
19,327.0,36051.75,36051.75
20,354.0,39028.5,39028.5
21,435.0,47958.75,47958.75
22,473.0,52148.25,52148.25
23,355.0,39138.75,39138.75
24,369.0,40682.25,40682.25
25,423.0,46635.75,46635.75
26,373.0,41123.25,41123.25
27,339.0,37374.75,37374.75
28,354.0,39028.5,39028.5
29,380.0,41895.0,41895.0
30,251.0,27672.75,27672.75
31,242.0,26680.5,26680.5
32,189.0,20837.25,20837.25
33,269.0,29657.25,29657.25
34,270.0,29767.5,29767.5
35,226.0,24916.5,24916.5
36,166.0,18301.5,18301.5
37,187.0,20616.75,20616.75
38,135.0,14883.75,14883.75
39,119.0,13119.75,13119.75
40,72.0,7938.0,7938.0
41,102.0,11245.5,11245.5
42,52.0,5733.0,5733.0
43,22.0,2425.5,2425.5
44,6.0,661.5,661.5
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
