,pr,ft,ft-area,pr-area
0,40,1549,170777.25,4410.0
1,91,1242,136930.5,10032.75
2,58,1138,125464.5,6394.5
3,69,1269,139907.25,7607.25
4,98,1751,193047.75,10804.5
5,107,1780,196245.0,11796.75
6,114,2332,257103.0,12568.5
7,162,2804,309141.0,17860.5
8,124,2688,296352.0,13671.0
9,186,4143,456765.75,20506.5
10,125,3625,399656.25,13781.25
11,164,3392,373968.0,18081.0
12,129,3397,374519.25,14222.25
13,134,3417,376724.25,14773.5
14,126,2719,299769.75,13891.5
15,151,2747,302856.75,16647.75
16,197,3231,356217.75,21719.25
17,235,2986,329206.5,25908.75
18,270,4403,485430.75,29767.5
19,212,3126,344641.5,23373.0
20,164,2306,254236.5,18081.0
21,160,2272,250488.0,17640.0
22,254,2580,284445.0,28003.5
23,253,2205,243101.25,27893.25
24,142,2116,233289.0,15655.5
25,148,2180,240345.0,16317.0
26,113,1625,179156.25,12458.25
27,175,2641,291170.25,19293.75
28,116,1876,206829.0,12789.0
29,55,1653,182243.25,6063.75
30,98,1389,153137.25,10804.5
31,68,1613,177833.25,7497.0
32,41,1212,133623.0,4520.25
33,86,1276,140679.0,9481.5
34,37,1423,156885.75,4079.25
35,46,991,109257.75,5071.5
