,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
15,0,4,441.0,0.0
16,0,4,441.0,0.0
17,0,9,992.25,0.0
18,0,11,1212.75,0.0
19,0,48,5292.0,0.0
20,6,92,10143.0,661.5
21,7,395,43548.75,771.75
22,42,760,83790.0,4630.5
23,135,2614,288193.5,14883.75
24,309,5683,626550.75,34067.25
25,780,14826,1634566.5,85995.0
26,1746,30576,3371004.0,192496.5
27,955,14645,1614611.25,105288.75
28,511,8695,958623.75,56337.75
29,159,2726,300541.5,17529.75
30,69,1416,156114.0,7607.25
31,7,352,38808.0,771.75
32,22,154,16978.5,2425.5
33,0,53,5843.25,0.0
34,0,24,2646.0,0.0
35,0,7,771.75,0.0
36,0,0,0.0,0.0
37,0,0,0.0,0.0
38,0,3,330.75,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
