,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
15,0,0,0.0,0.0
16,0,0,0.0,0.0
17,4,18,1984.5,441.0
18,2,12,1323.0,220.5
19,4,128,14112.0,441.0
20,56,565,62291.25,6174.0
21,136,1623,178935.75,14994.0
22,426,6291,693582.75,46966.5
23,1751,25689,2832212.25,193047.75
24,7516,104155,11483088.75,828639.0
25,27997,340724,37564821.0,3086669.25
26,52765,593788,65465127.0,5817341.25
27,26109,298171,32873352.75,2878517.25
28,7828,94114,10376068.5,863037.0
29,2182,24376,2687454.0,240565.5
30,564,6618,729634.5,62181.0
31,154,1622,178825.5,16978.5
32,32,401,44210.25,3528.0
33,18,125,13781.25,1984.5
34,4,36,3969.0,441.0
35,0,6,661.5,0.0
36,0,0,0.0,0.0
37,0,0,0.0,0.0
38,0,2,220.5,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
