,pr,ft,ft-area,pr-area
0,0,1440,158760.0,0.0
1,20,12438,1371289.5,2205.0
2,88,30615,3375303.75,9702.0
3,232,39989,4408787.25,25578.0
4,591,50949,5617127.25,65157.75
5,1026,60521,6672440.25,113116.5
6,1837,69245,7634261.25,202529.25
7,3151,79855,8804013.75,347397.75
8,3762,89992,9921618.0,414760.5
9,4437,100273,11055098.25,489179.25
10,4861,107670,11870617.5,535925.25
11,5291,118068,13016997.0,583332.75
12,6438,125141,13796795.25,709789.5
13,7733,133972,14770413.0,852563.25
14,8332,142213,15678983.25,918603.0
15,9760,148850,16410712.5,1076040.0
16,9857,153783,16954575.75,1086734.25
17,10013,157408,17354232.0,1103933.25
18,10074,158327,17455551.75,1110658.5
19,10006,160130,17654332.5,1103161.5
20,10204,159641,17600420.25,1124991.0
21,10333,156156,17216199.0,1139213.25
22,10016,148839,16409499.75,1104264.0
23,8957,141530,15603682.5,987509.25
24,8510,132089,14562812.25,938227.5
25,8793,125226,13806166.5,969428.25
26,8870,122051,13456122.75,977917.5
27,8342,113106,12469936.5,919705.5
28,8021,104302,11499295.5,884315.25
29,8119,96219,10608144.75,895119.75
30,8323,89554,9873328.5,917610.75
31,7360,82555,9101688.75,811440.0
32,7629,74630,8227957.5,841097.25
33,7056,70402,7761820.5,777924.0
34,6192,61000,6725250.0,682668.0
35,5288,54830,6045007.5,583002.0
36,4310,49139,5417574.75,475177.5
37,3034,44750,4933687.5,334498.5
38,1846,39088,4309452.0,203521.5
39,1129,34678,3823249.5,124472.25
40,678,28746,3169246.5,74749.5
41,330,22978,2533324.5,36382.5
42,81,18353,2023418.25,8930.25
43,55,14405,1588151.25,6063.75
44,0,11218,1236784.5,0.0
45,0,9292,1024443.0,0.0
46,0,7422,818275.5,0.0
47,0,6132,676053.0,0.0
48,0,4656,513324.0,0.0
49,0,3376,372204.0,0.0
50,0,2622,289075.5,0.0
51,0,1676,184779.0,0.0
52,0,1615,178053.75,0.0
53,0,1040,114660.0,0.0
54,0,563,62070.75,0.0
55,0,134,14773.5,0.0
56,0,84,9261.0,0.0
57,0,0,0.0,0.0
58,0,0,0.0,0.0
59,0,0,0.0,0.0
60,0,0,0.0,0.0
61,0,0,0.0,0.0
62,0,0,0.0,0.0
63,0,0,0.0,0.0
