,pr,ft,ft-area,pr-area
0,481,9571,1055202.75,53030.25
1,771,15653,1725743.25,85002.75
2,747,12528,1381212.0,82356.75
3,663,10205,1125101.25,73095.75
4,545,8122,895450.5,60086.25
5,484,6669,735257.25,53361.0
6,294,5118,564259.5,32413.5
7,202,4195,462498.75,22270.5
8,228,3475,383118.75,25137.0
9,119,2331,256992.75,13119.75
10,55,1713,188858.25,6063.75
11,39,1247,137481.75,4299.75
12,40,869,95807.25,4410.0
13,19,544,59976.0,2094.75
14,27,364,40131.0,2976.75
15,21,255,28113.75,2315.25
16,9,106,11686.5,992.25
17,0,64,7056.0,0.0
18,4,31,3417.75,441.0
19,0,25,2756.25,0.0
20,0,10,1102.5,0.0
21,0,2,220.5,0.0
22,0,0,0.0,0.0
23,0,0,0.0,0.0
24,0,0,0.0,0.0
25,0,0,0.0,0.0
26,0,0,0.0,0.0
27,0,0,0.0,0.0
28,0,0,0.0,0.0
29,0,0,0.0,0.0
30,0,0,0.0,0.0
31,0,0,0.0,0.0
32,0,0,0.0,0.0
33,0,0,0.0,0.0
