,pr,ft,ft-area,pr-area
0,12,88,9702.0,1323.0
1,5,896,98784.0,551.25
2,0,668,73647.0,0.0
3,15,1270,140017.5,1653.75
4,0,145,15986.25,0.0
5,0,1010,111352.5,0.0
6,0,230,25357.5,0.0
7,0,395,43548.75,0.0
8,4,2654,292603.5,441.0
9,0,1625,179156.25,0.0
10,0,159,17529.75,0.0
11,0,125,13781.25,0.0
12,14,3058,337144.5,1543.5
13,0,2548,280917.0,0.0
14,6,1416,156114.0,661.5
15,31,2905,320276.25,3417.75
16,17,1936,213444.0,1874.25
17,30,3636,400869.0,3307.5
18,28,2140,235935.0,3087.0
19,93,4791,528207.75,10253.25
20,16,1220,134505.0,1764.0
21,3,1824,201096.0,330.75
22,83,5907,651246.75,9150.75
23,17,3376,372204.0,1874.25
24,24,1858,204844.5,2646.0
25,53,5347,589506.75,5843.25
26,63,5058,557644.5,6945.75
27,273,19902,2194195.5,30098.25
28,72,7632,841428.0,7938.0
29,184,10886,1200181.5,20286.0
30,90,5641,621920.25,9922.5
31,386,17089,1884062.25,42556.5
32,5882,175007,19294521.75,648490.5
33,3909,123457,13611134.25,430967.25
34,2135,66789,7363487.25,235383.75
35,2719,87431,9639267.75,299769.75
36,3229,94720,10442880.0,355997.25
37,7013,197894,21817813.5,773183.25
38,1270,60937,6718304.25,140017.5
39,2336,92700,10220175.0,257544.0
40,572,64229,7081247.25,63063.0
41,0,0,0.0,0.0
