,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,15.0,1653.75,1653.75
2,118.0,13009.5,13009.5
3,362.0,39910.5,39910.5
4,1135.0,125133.75,125133.75
5,2294.0,252913.5,252913.5
6,3122.0,344200.5,344200.5
7,2627.0,289626.75,289626.75
8,1894.0,208813.5,208813.5
9,1574.0,173533.5,173533.5
10,936.0,103194.0,103194.0
11,456.0,50274.0,50274.0
12,351.0,38697.75,38697.75
13,236.0,26019.0,26019.0
14,173.0,19073.25,19073.25
15,183.0,20175.75,20175.75
16,74.0,8158.5,8158.5
17,52.0,5733.0,5733.0
18,17.0,1874.25,1874.25
19,8.0,882.0,882.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
