,dist,area,dist-area-no-cos
0,51.0,5622.75,5622.75
1,13.0,1433.25,1433.25
2,9.0,992.25,992.25
3,0.0,0.0,0.0
4,26.0,2866.5,2866.5
5,0.0,0.0,0.0
6,6.0,661.5,661.5
7,9.0,992.25,992.25
8,10.0,1102.5,1102.5
9,19.0,2094.75,2094.75
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,27.0,2976.75,2976.75
14,15.0,1653.75,1653.75
15,22.0,2425.5,2425.5
16,73.0,8048.25,8048.25
17,23.0,2535.75,2535.75
18,81.0,8930.25,8930.25
19,110.0,12127.5,12127.5
20,121.0,13340.25,13340.25
21,85.0,9371.25,9371.25
22,17.0,1874.25,1874.25
23,217.0,23924.25,23924.25
24,75.0,8268.75,8268.75
25,26.0,2866.5,2866.5
26,123.0,13560.75,13560.75
27,121.0,13340.25,13340.25
28,626.0,69016.5,69016.5
29,228.0,25137.0,25137.0
30,612.0,67473.0,67473.0
31,467.0,51486.75,51486.75
32,781.0,86105.25,86105.25
33,18888.0,2082402.0,2082402.0
34,10046.0,1107571.5,1107571.5
35,8661.0,954875.25,954875.25
36,6368.0,702072.0,702072.0
37,10770.0,1187392.5,1187392.5
38,24903.0,2745555.75,2745555.75
39,4603.0,507480.75,507480.75
40,17220.0,1898505.0,1898505.0
41,1330.0,146632.5,146632.5
42,0.0,0.0,0.0
