,pr,ft,ft-area,pr-area
0,8736,297009,32745242.25,963144.0
1,7028,272559,30049629.75,774837.0
2,5744,254368,28044072.0,633276.0
3,5164,241745,26652386.25,569331.0
4,4970,236647,26090331.75,547942.5
5,4488,229705,25324976.25,494802.0
6,4342,228359,25176579.75,478705.5
7,4248,236237,26045129.25,468342.0
8,4038,209308,23076207.0,445189.5
9,5362,232128,25592112.0,591160.5
10,5865,209548,23102667.0,646616.25
11,6443,200484,22103361.0,710340.75
12,7830,203747,22463106.75,863257.5
13,9445,209214,23065843.5,1041311.25
14,11076,216046,23819071.5,1221129.0
15,14139,227698,25103704.5,1558824.75
16,18688,250682,27637690.5,2060352.0
17,22519,243591,26855907.75,2482719.75
18,29289,287756,31725099.0,3229112.25
19,30325,270286,29799031.5,3343331.25
20,28280,257856,28428624.0,3117870.0
21,27187,252168,27801522.0,2997366.75
22,26404,258830,28536007.5,2911041.0
23,25869,260293,28697303.25,2852057.25
24,24671,272943,30091965.75,2719977.75
25,24018,296644,32705001.0,2647984.5
26,22354,278861,30744425.25,2464528.5
27,25670,323343,35648565.75,2830117.5
28,22181,291886,32180431.5,2445455.25
29,20985,271998,29987779.5,2313596.25
30,18109,259953,28659818.25,1996517.25
31,15795,262573,28948673.25,1741398.75
32,14399,262285,28916921.25,1587489.75
33,13388,268129,29561222.25,1476027.0
34,11118,274203,30230880.75,1225759.5
35,9126,254488,28057302.0,1006141.5
