,dist,area,dist-area-no-cos
0,0.0,0.0,0.0
1,149767.0,25072.07679291251,25341.996019465285
2,99219.0,16604.652306855904,16788.79528237413
3,55509.0,9282.857404754552,9392.648961683806
4,28072.0,4696.761057134017,4750.048490377917
5,13241.0,2216.5010912766616,2240.502709500356
6,4025.0,672.8716682714512,681.068152385691
7,3220.0,538.1123659013397,544.8545219085528
8,5589.0,935.4474531252528,945.7117773127022
9,10667.0,1782.6225487793758,1804.9575109312211
10,16223.0,2713.690702633799,2745.085375441755
11,14517.0,2426.020670787602,2456.414004517534
12,27382.0,4575.970798964894,4633.293949968941
13,28852.0,4822.134395662093,4882.031883883716
14,58759.0,9819.5710788792,9942.579767957966
15,104164.0,17411.862472470042,17625.53615530512
16,158915.0,26562.168779578908,26889.92433201791
17,244484.0,40866.49751034444,41369.01022804056
18,329050.0,55031.061903142174,55678.37901677307
19,444035.0,74293.062812379,75134.93094275286
20,351971.0,58879.26443867637,59556.829481576155
21,278935.0,46717.6549134182,47198.445984025515
22,234195.0,39189.80885849441,39628.013900116
23,293351.0,49146.05734295175,49637.76983117884
24,290389.0,48606.338355035674,49136.57135481451
25,329002.0,55074.46625450991,55670.256961788094
26,386661.0,64688.97710780852,65426.706303007115
27,659003.0,110247.44650209715,111509.55419295092
28,1456671.0,243648.1811664837,246482.5407711346
29,1281771.0,214406.857956349,216887.8029196421
30,992249.0,165986.1445692948,167897.93618299364
31,514471.0,86063.69577753916,87053.36979528418
32,319580.0,53468.43756977233,54075.96525202959
33,220573.0,36923.93364705124,37323.042379172424
34,191749.0,32115.68308135673,32445.74836069661
35,124666.0,20875.41806783157,21094.66889076138
36,129311.0,21652.55146404185,21880.64692003629
