,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,20458,3461.6875183866996,0.0
14,0,31738,5370.37043985517,0.0
15,1219,38573,6526.917227819443,206.26635472252354
16,2678,163270,27626.83161242528,453.14298436990816
17,12623,410821,69514.8073121098,2135.931251568839
18,22397,1623207,274662.0105414957,3789.784697883806
19,108708,5635382,953560.0513608893,18394.424027215824
20,498479,17455381,2953615.9222008185,84347.3718094576
21,1420957,52207968,8834083.05728479,240439.39344335758
22,3841271,134846969,22817385.34947591,649979.4640454001
23,9858324,338108163,57211106.05737392,1668121.8664098172
24,23453099,744839317,126033872.65923229,3968486.6592916013
25,45467427,1529340554,258778918.13199726,7693519.627483548
26,37776881,1552097105,262629542.26721233,6392206.346724004
27,16466905,737673423,124821335.46997224,2786356.4133815393
28,7236091,359166097,60774308.09524717,1224415.1870471372
29,2886544,153256525,25932456.72616185,488430.60592795076
30,1149036,62742657,10616652.292859413,194427.7827440111
31,337382,21835020,3694692.3549576667,57088.232394581166
32,104163,6973037,1179903.9567967854,17625.366945826267
33,23177,2244349,379765.12465557095,3921.7680913896047
34,8096,745133,126083.56660661045,1369.9199407986468
35,3358,243924,41274.25291988255,568.2054299903479
36,351,77049,13037.421136190087,59.39252707760932
37,0,16065,2718.350277782888,0.0
38,0,16320,2761.498694890553,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
