,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,3969,671.59242156989,0.0
15,74,24565,4156.630848038384,12.521501435165497
16,0,47710,8072.984236104674,0.0
17,4151,171877,29083.21759691811,702.388546721243
18,16892,415128,70243.5925375322,2858.2865167948053
19,19368,1502796,254287.32798325634,3277.2491864362887
20,72293,4927175,833724.7139704265,12232.660854762424
21,266734,18445672,3121182.546224217,45133.921132532894
22,939858,62094617,10506997.782183135,159032.88237637532
23,3449571,215491418,36463190.53720065,583700.1111784497
24,13032990,695156024,117626988.54297219,2205305.4458040213
25,39753845,1667388702,282137973.3117802,6726727.394876308
26,58531589,1966884048,332815424.72751516,9904099.671162393
27,24606619,770234493,130330977.15558743,4163673.177338792
28,7415490,233505496,39511343.287608534,1254771.1983439918
29,1919515,61786149,10454802.072660126,324800.1328016446
30,448807,16865713,2853838.507224181,75942.39857584218
31,135050,4770787,807262.3819914716,22851.740119177033
32,50474,1421424,240518.4142699822,8540.67923565599
33,9483,454470,76900.63185459006,1604.6134879685733
34,2491,139255,23563.26597775637,421.5008118242872
35,0,56665,9588.255119238553,0.0
36,3872,12224,2068.416669506257,655.179102121092
37,0,0,0.0,0.0
38,0,4032,682.252618737666,0.0
39,0,0,0.0,0.0
40,0,4096,693.0820253842957,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
