,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,4096,693.0820253842957,0.0
3,0,0,0.0,0.0
4,0,4032,682.252618737666,0.0
5,0,4096,693.0820253842957,0.0
6,351,12033,2036.0976590452221,59.39252707760932
7,0,12160,2057.5872628596276,0.0
8,0,28660,4849.543663943827,0.0
9,0,61484,10403.675597833993,0.0
10,1751,116050,19636.760020958864,296.2857974726323
11,10562,258813,43793.612850533624,1787.1905156515945
12,3993,287676,48677.506038684725,675.6534490623761
13,10727,782142,132345.84020950287,1815.1100796624364
14,19390,1193648,201976.5560146274,3280.9717949710675
15,20764,2137935,361758.86717284523,3513.4656189158973
16,80586,5258043,889710.7158197555,13635.915062895227
17,113509,8116515,1373391.2732573282,19206.7987351919
18,372435,23592311,3992042.649261767,63019.53225683598
19,555424,36509198,6177702.36694245,93983.00558277515
20,1033606,67577554,11434762.694540188,174895.93259994147
21,3089946,180560108,30552481.77642753,522848.15234572825
22,4706859,249831590,42273873.14506322,796445.1584273195
23,11259191,569238987,96320632.33341424,1905161.8414230063
24,14680771,664528734,112444560.76337446,2484125.610078865
25,21503688,863851770,146171907.8084494,3638627.83991015
26,34545359,1197987985,202710922.61470976,5845402.193200099
27,22391611,699264758,118322225.2818602,3788872.8280022643
28,19075890,591275930,100049491.97397046,3227821.4055683673
29,7662058,247673378,41908683.21728766,1296492.8411259633
30,5426658,174796316,29577193.53588705,918241.9720966531
31,1983660,63237637,10700407.600702362,335654.074822708
32,1061829,34420598,5824291.449408847,179671.5317216263
33,560812,21427305,3625703.1122868764,94894.70625483828
34,217668,7784517,1317214.0646968947,36831.48884310275
35,180290,5234297,885692.6675348982,30506.776942513345
36,47753,2123645,359340.8637200275,8080.260243695378
37,29141,1092318,184830.55952239333,4930.933423272402
38,14441,725765,122806.31742017415,2443.5540841246616
39,6157,323065,54665.66028583435,1041.8227613015401
40,12021,273339,46251.54974036084,2034.067145298979
41,0,87153,14747.113710526739,0.0
42,143,43871,7423.389046785751,24.196955476063057
43,11,24448,4136.833339012514,1.861304267389466
44,0,24257,4104.51432855148,0.0
45,111,4096,693.0820253842957,18.782252152748246
46,0,4032,682.252618737666,0.0
47,0,4032,682.252618737666,0.0
48,0,0,0.0,0.0
49,0,4032,682.252618737666,0.0
50,0,4096,693.0820253842957,0.0
