,pr,ft,ft-area,pr-area
0,33038,2220470,375724.5715100261,5590.342762364834
1,127310,22758225,3850907.3918826934,21542.058752850266
2,213584,38664696,6542433.0601924015,36140.4373314647
3,214196,43844616,7418924.623895678,36243.99353252309
4,402355,54914608,9292072.201129064,68082.27986413533
5,745247,64749017,10956147.422852097,126102.85648719975
6,1198010,76170525,12888774.839254182,202714.64776138673
7,2058576,93332172,15792688.18439342,348330.5721405034
8,2563152,107613174,18209169.090320464,433709.6141425313
9,3140042,121901500,20626889.286470633,531324.8703983775
10,3491304,136824622,23152022.982959144,590761.7303594465
11,3964372,154760896,26187010.5590743,670809.3201017556
12,4622780,167883158,28407421.673474543,782218.1946547887
13,5277925,183751011,31092412.81012988,893074.9386783225
14,5972763,198217957,33540357.203392874,1010648.1145459916
15,6388249,210139587,35557610.00277818,1080952.2840769535
16,6810019,220356427,37286396.174708664,1152319.7659730313
17,7135158,229354540,38808962.18610436,1207336.366718008
18,7424232,236685070,40049357.34712496,1256250.42760813
19,7277790,242951312,41109664.89031541,1231471.0531058528
20,7096655,245239259,41496807.209830046,1200821.2941537083
21,7093525,242639203,41056853.0890799,1200291.6684848964
22,6787981,231401013,39155244.8159223,1148590.7274780557
23,6520468,218853986,37032168.9160904,1103324.992161496
24,5806517,206580718,34955415.63397999,982517.7155244981
25,5528354,193247496,32699308.087920796,935449.8992581476
26,4974527,183724509,31087928.4205213,841737.1212131015
27,4441949,174313063,29495422.54760262,751619.8753842155
28,4418164,161458337,27320281.06033695,747595.2279296829
29,4257514,148000186,25043034.34329406,720411.7251518541
30,4235948,136786799,23145622.97284047,716762.5535308976
31,3670295,123405690,20881412.49246741,621048.704188929
32,3356640,112901754,19104046.955995973,567975.305099107
33,2778001,105273439,17813263.75031497,470064.10146474576
34,2455305,93452647,15813073.696358308,415460.8794766084
35,2031627,82313203,13928174.182399582,343770.54589487804
36,1754887,73795595,12486914.17164043,296943.51471693616
37,1619004,65910920,11152752.423960518,273950.8231018741
38,1081462,59764085,10112649.677011525,182993.62141995877
39,727994,52910603,8952975.559459079,123183.4853485388
40,459387,44357225,7505662.9256413365,77732.63486211315
41,241049,35824844,6061903.183251082,40787.77566817849
42,114090,27864256,4714896.236402958,19305.109442405832
43,97108,20923502,3540454.869212002,16431.594072514206
44,52293,17211040,2912271.108928254,8848.471277690667
45,2877,12954490,2192022.501714015,486.8156706617721
46,182,10505253,1777588.3853550898,30.79612515135298
47,275,8872154,1501252.5546487744,46.53260668473665
48,3774,6918916,1170746.1705917504,638.5965731934403
49,341,4954456,838340.9177630312,57.70043228907344
50,435,3585206,606650.8388427561,73.6061233013107
51,2910,2464382,416996.79391616245,492.39958346394053
52,7429,2461319,416478.5052824339,1257.0572184033038
53,10,1718366,290763.81533972424,1.6920947885358781
54,87,1260716,213325.0973423798,14.72122466026214
55,0,604172,102231.62925792986,0.0
56,0,199597,33773.704350739565,0.0
57,0,36677,6206.09605591304,0.0
58,0,0,0.0,0.0
59,0,0,0.0,0.0
60,0,0,0.0,0.0
61,0,0,0.0,0.0
62,0,0,0.0,0.0
63,0,0,0.0,0.0
