,pr,ft,ft-area,pr-area
0,18880,3574305,604806.2863137731,3194.6749607557376
1,10069,2558361,432898.93152934377,1703.7702425767757
2,9538,2010651,340221.2078664452,1613.9200093055206
3,14701,1869627,316358.61032059684,2487.5485486265943
4,10385,2214847,374773.1066104324,1757.2404378945093
5,7238,1709536,289269.6956414471,1224.7382079422687
6,5357,1552301,262664.0432339032,906.4551782186699
7,11517,1538053,260253.1465791973,1948.7855679567708
8,15222,1052357,178068.77953792512,2575.7066871093134
9,13181,1679267,284147.8939260278,2230.350140769141
10,7900,1202695,203507.3941698158,1336.7548829433438
11,4237,974713,164930.67876181714,716.9405619026516
12,3196,1000734,169333.67861106634,540.7934944160667
13,8205,1188527,201110.03427341816,1388.363773993688
14,11701,852552,144259.87961558398,1979.920112065831
15,16417,923114,156199.63886245087,2777.912014339351
16,11645,1057996,179022.9517891805,1970.4443812500301
17,23378,799786,135331.37225439557,3955.779196639176
18,17990,1632014,276152.2384217593,3044.078524576045
19,14364,1228536,207879.93631287134,2430.5249542529355
20,17054,1113778,188461.7949385913,2885.6984523690867
21,24218,1284114,217284.26072859607,4097.91515887619
22,23490,1823519,308556.6996696156,3974.7306582707774
23,43273,1722701,291497.33843055455,7322.201778431306
24,39254,1912373,323591.6387036723,6642.148882918736
25,46740,2563590,433783.72789426916,7908.851041616695
26,47850,2445539,413808.37970612425,8096.673563144177
27,59069,3772628,638364.4177884533,9995.03470640258
28,49371,3353158,567386.1176937388,8354.041180480484
29,38725,2927284,495324.2000964459,6552.637068605188
30,44506,2818926,476988.99938682886,7530.837065857779
31,24958,3248797,549727.2472710995,4223.130173227844
32,28510,2776364,469787.1055478625,4824.162242115788
33,26293,2604890,440772.07937092235,4449.024827497385
34,26944,2907676,492006.3406350848,4559.18019823107
35,28621,2618834,443131.5363440568,4842.944494268537
