,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,704,119.12347311292582,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,192,32.48821993988886,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,3701,7869,1331.5093890988824,626.2442812371285
12,0,1024,173.27050634607392,0.0
13,752,7952,1345.5537758437304,127.24552809789803
14,0,10772,1822.724506210848,0.0
15,5593,49082,8305.139641091797,946.3886152281166
16,10252,89590,15159.477210492932,1734.7355772069823
17,3709,173405,29341.769680606394,627.5979570679572
18,15634,533886,90338.57182722658,2645.420992396992
19,37960,794307,134404.27351975677,6423.191817282193
20,66402,1807602,305863.39239470306,11235.847814835937
21,240754,5746394,972344.3340273838,40737.85887191668
22,398759,9162015,1550299.7833987544,67473.80257817783
23,1044783,24734045,4185234.864391189,176787.18694508803
24,1506926,36595900,6192373.167178014,254986.16313092166
25,2617695,64176866,10859334.050316539,442938.8067476425
26,5889609,139478791,23601133.536238495,996577.6695414004
27,5183856,114541446,19381498.38479637,877157.5722120443
28,4887469,108871852,18422149.338744942,827006.082403066
29,2076892,46174756,7813206.398951577,351429.8129551857
30,1453264,30802228,5212028.9474093905,245906.04407668044
31,442669,10293154,1741699.2240997227,74903.79079463886
32,221956,5123186,866891.6331299971,37557.05908842693
33,116260,2811254,475690.82426506415,19672.29401151812
34,34001,848907,143643.11106516267,5753.291490500839
35,20701,612544,103648.25101489208,3502.8054217481213
36,5074,163881,27730.218604004825,858.5688957031045
37,691,77292,13078.53903955151,116.92374988782917
38,0,39333,6655.516431748169,0.0
39,3603,24616,4165.260531459918,609.6617523094769
40,3506,11355,1921.3736323824896,593.2484328606788
41,0,8246,1395.301362626685,0.0
42,0,144,24.366164954916645,0.0
43,0,0,0.0,0.0
44,0,550,93.0652133694733,0.0
45,0,0,0.0,0.0
46,0,464,78.51319818806475,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
