,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,12027,2035.0824021721005,0.0
14,0,24415,4131.249426210346,0.0
15,1219,27713,4689.302287469479,206.26635472252354
16,2672,93230,15775.399713519992,452.12772749678663
17,6739,210951,35694.908773643205,1140.3026779943282
18,15704,912422,154390.45111454828,2657.265655916743
19,79305,3112921,526735.7401223894,13419.157720483781
20,270641,9223257,1560662.5103027057,45795.022566413856
21,686569,25671644,4343885.502554835,116173.98268702893
22,1651895,62435108,10564612.086847471,279516.2920708474
23,3842560,148664102,25155375.22365662,650197.5750636423
24,9243727,315748482,53427636.08803145,1564126.2283348388
25,19472422,674778921,114178989.5637963,3294918.378637138
26,17965536,702671270,118898639.40208869,3039938.9838853707
27,8139234,319672263,54091577.02617706,1377235.543407403
28,3504931,150034367,25387237.050197933,593067.5479277844
29,1422046,63703085,10779165.814215807,240623.66256582912
30,636315,26469128,4478827.354588909,107670.52953672073
31,206833,9260845,1567022.7561938544,34998.10413972413
32,64711,2806988,474968.9766282747,10949.71458609452
33,16570,980580,165923.43077425114,2803.80106460395
34,4741,294955,49909.181835259995,802.2221392448598
35,1078,89577,15157.277487267835,182.40781820416765
36,351,27375,4632.109483616966,59.39252707760932
37,0,9786,1655.8839600612102,0.0
38,0,12434,2103.950660065511,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
