,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,0,0,0.0,0.0
2,0,0,0.0,0.0
3,0,0,0.0,0.0
4,0,0,0.0,0.0
5,0,0,0.0,0.0
6,0,0,0.0,0.0
7,0,0,0.0,0.0
8,0,0,0.0,0.0
9,0,0,0.0,0.0
10,0,0,0.0,0.0
11,0,0,0.0,0.0
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
15,74,22784,3855.2687662001445,12.521501435165497
16,0,22911,3876.75837001455,0.0
17,1315,85525,14471.640678953097,222.51046469246796
18,8820,176898,29932.818390241977,1492.4276034886445
19,12512,630267,106647.15060861423,2117.1489994160906
20,29931,1868028,316088.0443639099,5064.608911566736
21,139441,6611777,1118775.3404661382,23594.73894082314
22,434564,22932394,3880378.437605144,73532.34796853054
23,1582370,84463194,14291973.039049484,267752.0030535517
24,6175493,294276047,49794296.55196391,1044951.9521939795
25,19600576,778100083,131661909.5403634,3316603.2501901407
26,26355012,882273826,149289094.30362102,4459517.845700053
27,9399825,317909176,53793245.993733525,1590539.4895649261
28,2599148,93013786,15738814.255259141,439800.47854334506
29,619151,24420282,4132143.190677651,104766.21804167774
30,186340,6908225,1168937.1520533266,31530.494289577553
31,52509,2180022,368880.3865093562,8885.020525123042
32,33830,726766,122975.6961085066,5724.3566696168755
33,599,198282,33551.1938860471,101.3564778332991
34,417,86815,14689.920906674226,70.56035268194611
35,0,29238,4947.3467427212,0.0
36,3872,8052,1362.474723729089,655.179102121092
37,0,0,0.0,0.0
38,0,3468,586.8184726642426,0.0
39,0,0,0.0,0.0
40,0,0,0.0,0.0
41,0,0,0.0,0.0
42,0,0,0.0,0.0
43,0,0,0.0,0.0
44,0,0,0.0,0.0
45,0,0,0.0,0.0
46,0,0,0.0,0.0
47,0,0,0.0,0.0
48,0,0,0.0,0.0
49,0,0,0.0,0.0
50,0,0,0.0,0.0
