,pr,ft,ft-area,pr-area
0,256,46821,7922.557009403835,43.31762658651848
1,9168,714455,120892.55821434008,1551.312502129693
2,13799,2482377,420041.71848813276,2334.9215987006583
3,10859,3921640,663578.6606513842,1837.44573087111
4,24493,6392608,1081689.8681952762,4144.447765560926
5,36844,8246521,1395389.520765168,6234.354038881589
6,108326,10088170,1707013.9882863988,18329.786006293754
7,151369,12941942,2189899.26117336,25613.069604588734
8,198317,15886009,2688063.3039534055,33557.11621780697
9,215238,17623595,2982079.325476696,36420.309809488535
10,257077,20162812,3411738.9107428663,43499.865195243794
11,323348,23039811,3898554.4121951596,54713.54656834991
12,306626,23613441,3995618.0455499436,51884.025662960215
13,394935,26832112,4540247.6880610995,66826.7455310417
14,461037,28956567,4899725.611458998,78011.83050222156
15,456656,30307696,5128349.445412968,77270.523775364
16,644437,32378160,5478691.579838083,109044.84892396956
17,581247,32611859,5518235.665836687,98352.50195521135
18,610783,35149071,5947555.986097757,103350.27312263093
19,545073,36067742,6103003.827245661,92231.51826716166
20,437125,34722853,5875435.860439738,73965.69344387457
21,439564,34444960,5828413.7307326775,74378.39536279847
22,362371,32280625,5462187.733318098,61316.60806165347
23,412576,30594451,5176871.109521628,69811.76994749784
24,295220,29038228,4913543.426711662,49954.02234715619
25,401574,27389272,4634524.441299165,67950.12726115067
26,352656,25451644,4306659.4172070455,59672.73797459086
27,291856,23739006,4016864.833762194,49384.801660292724
28,300211,21248198,3595396.510157847,50798.54685611445
29,299877,19457871,3292456.2115103393,50742.03089017735
30,257512,16995717,2875836.416313063,43573.471318545104
31,236641,15076153,2551027.9922469542,40041.90028539187
32,172412,14039269,2375577.390975331,29173.74466810478
33,176560,12940358,2189631.233358856,29875.625586389462
34,158587,11498260,1945614.5823230546,26834.42362295393
35,117173,10172051,1721207.4485821167,19826.782265711445
36,144507,9622666,1628246.2990421385,24451.954160695415
37,123880,8481828,1435205.695605769,20961.670240382457
38,77380,7257317,1228006.8274452833,13093.429473690625
39,42055,6010104,1016966.5656958634,7116.104633187635
40,30298,4728775,800153.5533658747,5126.708790306004
41,11404,3693521,624978.7635447825,1929.6648968463153
42,8791,2787791,471720.6622627224,1487.5205286018904
43,10087,2155018,364649.4727001011,1706.8160131961401
44,693,1725096,291902.5951324089,117.26216884553635
45,0,1382395,233914.33751980553,0.0
46,0,1083613,183357.59100897284,0.0
47,0,820319,138805.7504836963,0.0
48,4,470025,79532.68529815761,0.6768379154143512
49,14,321392,54382.57282771229,2.3689327039502293
50,0,236582,40031.916926139515,0.0
51,0,173498,29357.506162139776,0.0
52,1723,223552,37827.11741667726,291.5479320647318
53,0,97648,16522.967191095144,0.0
54,0,42107,7124.903526088022,0.0
55,0,73,12.35229195631191,0.0
56,0,0,0.0,0.0
57,0,0,0.0,0.0
58,0,0,0.0,0.0
59,0,0,0.0,0.0
60,0,0,0.0,0.0
61,0,0,0.0,0.0
62,0,0,0.0,0.0
63,0,0,0.0,0.0
