,pr,ft,ft-area,pr-area
0,7125,28887832,4888094.997929997,1205.6175368318131
1,3598,3594,608.1388669997946,608.8157049152089
2,9546,9307,1574.8326196903417,1615.2736851363493
3,19419,19419,3285.878869857822,3285.878869857822
4,37426,37426,6332.833955574378,6332.833955574378
5,53826,52811,8936.121787736825,9107.869408773218
6,123813,123663,20924.951783471228,20950.333205299266
7,148336,147118,24893.760109982133,25099.8572552258
8,195078,195071,33007.862249448226,33009.0467158002
9,195163,195152,33021.56821723537,33023.42952150276
10,200459,200459,33919.56292151136,33919.56292151136
11,1895,1895,320.6519624275489,320.6519624275489
12,0,0,0.0,0.0
13,0,0,0.0,0.0
14,0,0,0.0,0.0
