,pr,ft,ft-area,pr-area
0,35743,783248,132532.98589311494,6048.054402663789
1,67353,2179062,368717.94540965674,11396.7660292257
2,77481,3004638,508413.2301236864,13110.519631054836
3,103756,3396099,574652.1419251907,17556.498687932857
4,128037,3357891,568186.9861571528,21665.074043976823
5,116145,3457966,585120.6247534256,19652.834921449958
6,83519,2730776,462073.1838258851,14132.2064643728
7,102419,2586155,437601.9397846004,17330.26561470561
8,74674,2164453,366245.9641330847,12635.548623912817
9,54063,1738323,294140.7289092053,9147.972055261518
10,42461,1372588,232254.90016068838,7184.803681602192
11,42394,1077197,182271.94299264823,7173.466646519001
12,25179,796477,134771.45808886905,4260.525468054488
13,18476,493355,83480.34243981181,3126.314331298888
14,13883,316600,53571.7210050459,2349.1351949243594
15,1789,194586,32925.79565220424,302.7157576690686
16,846,125067,21162.521891781667,143.1512191101353
17,1471,57366,9706.870963914918,248.90714339362768
18,5945,29126,4928.395281089599,1005.9503517845795
19,50,8681,1468.9074859279958,8.460473942679391
20,0,2666,451.1124706236651,0.0
21,0,1427,241.4619263240698,0.0
22,0,0,0.0,0.0
23,0,0,0.0,0.0
24,0,0,0.0,0.0
25,0,0,0.0,0.0
26,0,0,0.0,0.0
27,0,0,0.0,0.0
28,0,0,0.0,0.0
29,0,0,0.0,0.0
30,0,0,0.0,0.0
31,0,0,0.0,0.0
32,0,0,0.0,0.0
33,0,0,0.0,0.0
