,pr,ft,ft-area,pr-area
0,1775,33493,5667.333075243217,300.34682496511834
1,1,58229,9852.898744165564,0.1692094788535878
2,0,119894,20287.201257672055,0.0
3,487,203185,34380.82796086624,82.40501620169726
4,0,36359,6152.287441637599,0.0
5,7,84783,14346.087245643736,1.1844663519751146
6,856,21000,3553.399055925344,144.84331389867117
7,0,32493,5498.123596389629,0.0
8,222,305233,51648.31685891717,37.56450430549649
9,0,175531,29701.509032649123,0.0
10,0,20005,3385.0356244660243,0.0
11,141,11964,2024.4222050043245,23.85853651835588
12,533,321616,54420.4757509755,90.1886522289623
13,80,287895,48714.562914553666,13.536758308287025
14,214,235141,39788.08606711149,36.21082847466779
15,0,181712,30747.392821443147,0.0
16,1322,239162,40468.47738158177,223.69493104444308
17,584,556429,94153.06110902301,98.81833565049529
18,961,196431,33237.9871406891,162.61030917829788
19,1854,542349,91770.5916467645,313.7143737945518
20,59,146895,24856.02639619778,9.98335925236168
21,840,178723,30241.625689149772,142.13596223701376
22,1623,611262,103431.32446300179,274.62698417937304
23,375,367841,62242.183910982596,63.45355457009543
24,386,160374,27136.800961665293,65.31485883748489
25,1237,438895,74265.19422144542,209.31212534188813
26,2364,593513,100428.02542282947,400.01120800988156
27,10420,1826337,309033.531981025,1763.1627696543849
28,598,408944,69197.20112030162,101.18726835444551
29,8685,705903,119445.4787511842,1469.5843238434102
30,8730,379745,64256.4535472557,1477.1987503918215
31,6670,969531,164053.83524239785,1128.6272239534308
32,269050,9755482,1650720.0251855566,45525.8102855578
33,132811,5758507,974393.9684447374,22472.88009602385
34,78894,2291449,387734.89110957494,13349.612624674957
35,61478,2807301,475021.9391951559,10402.66034096087
36,96566,3506919,593403.9363717453,16339.88253497556
37,166905,6113498,1034461.8105524514,28241.908068058074
38,33682,2212377,374355.15919766406,5699.313666746544
39,119402,3287643,556300.358686646,20203.950194076093
40,24856,2191012,370739.99868195713,4205.870806384779
41,0,0,0.0,0.0
