,pr,ft,ft-area,pr-area
0,0,0,0.0,0.0
1,995684,29873747,5054921.161273932,168479.17074285573
2,26292471,603775604,102164555.2973502,4448935.315683071
3,1044178,48375055,8185517.846063647,176684.8152103816
4,36786999,946122771,160092941.01242238,6224708.929377456
5,67235799,2516947846,425891433.3233204,11376934.509094581
6,803997,70514143,11931661.388837367,136043.91336984804
7,72582,15922691,2694270.2460567127,12281.562394151111
8,10512639,777865645,131622240.40855995,1778838.1665659025
9,6721168,685585487,116007562.9648532,1137285.334567411
10,213649,26825516,4539131.582338582,36151.43594759018
