,pr,ft,ft-area,pr-area
0,1055100,5573074159,943016974.0567873,178532.9211384205
1,557913,551463,93312.76683703609,94404.16797564173
2,1146642,1135139,192076.2786163828,194022.69525163563
3,2431507,2412809,408270.15346324636,411434.0322988507
4,4957720,4902628,829571.1288930075,838893.2175020094
5,9158158,9041382,1529887.5363362094,1549647.1424388161
6,15022325,14834827,2510193.3455531336,2541919.7844192237
7,21133633,20840761,3526454.3077221774,3576011.0262129856
8,28424447,28276879,4784715.959195961,4809685.863571428
9,28315795,28269229,4783421.506682731,4791300.915275027
10,23739404,23733653,4015959.0554218907,4016932.1791347777
11,10360335,10359389,1752906.8139315902,1753066.8860985856
12,1417667,1417667,239882.69425792928,239882.69425792928
13,2958520,2958520,500609.6273779166,500609.6273779166
14,0,0,0.0,0.0
