,pr,ft,ft-area,pr-area
0,4438,129156,14239449.0,489289.5
1,13185,280132,30884553.0,1453646.25
2,23881,416991,45973257.75,2632880.25
3,36731,601259,66288804.75,4049592.75
4,48224,765960,84447090.0,5316696.0
5,58015,904601,99732260.25,6396153.75
6,56075,896376,98825454.0,6182268.75
7,55108,899849,99208352.25,6075657.0
8,49996,838442,92438230.5,5512059.0
9,42286,742990,81914647.5,4662031.5
10,36066,634123,69912060.75,3976276.5
11,29054,510383,56269725.75,3203203.5
12,23626,411881,45409880.25,2604766.5
13,18835,320773,35365223.25,2076558.75
14,14743,238431,26287017.75,1625415.75
15,10576,174153,19200368.25,1166004.0
16,7167,123744,13642776.0,790161.75
17,5277,87135,9606633.75,581789.25
18,3107,57440,6332760.0,342546.75
19,1691,35922,3960400.5,186432.75
20,841,19389,2137637.25,92720.25
21,297,8720,961380.0,32744.25
22,50,3651,402522.75,5512.5
23,24,1433,157988.25,2646.0
24,0,452,49833.0,0.0
25,0,146,16096.5,0.0
26,0,16,1764.0,0.0
27,0,22,2425.5,0.0
28,0,0,0.0,0.0
29,0,0,0.0,0.0
30,0,0,0.0,0.0
31,0,0,0.0,0.0
32,0,0,0.0,0.0
33,0,0,0.0,0.0
