,pr,ft,ft-area,pr-area
0,157,1429,157547.25,17309.25
1,66,8890,980122.5,7276.5
2,40,13673,1507448.25,4410.0
3,91,17260,1902915.0,10032.75
4,6,2634,290398.5,661.5
5,34,12984,1431486.0,3748.5
6,64,3226,355666.5,7056.0
7,28,5684,626661.0,3087.0
8,209,42643,4701390.75,23042.25
9,31,26685,2942021.25,3417.75
10,13,2445,269561.25,1433.25
11,0,2202,242770.5,0.0
12,263,41201,4542410.25,28995.75
13,211,32378,3569674.5,23262.75
14,232,21614,2382943.5,25578.0
15,396,29166,3215551.5,43659.0
16,364,28280,3117870.0,40131.0
17,579,51505,5678426.25,63834.75
18,533,26262,2895385.5,58763.25
19,1115,62695,6912123.75,122928.75
20,322,14851,1637322.75,35500.5
21,249,23100,2546775.0,27452.25
22,1615,77500,8544375.0,178053.75
23,574,40151,4426647.75,63283.5
24,309,20892,2303343.0,34067.25
25,866,59582,6568915.5,95476.5
26,1025,59585,6569246.25,113006.25
27,4848,206055,22717563.75,534492.0
28,1280,69022,7609675.5,141120.0
29,3527,105960,11682090.0,388851.75
30,1961,51756,5706099.0,216200.25
31,5033,152273,16788098.25,554888.25
32,102976,1549827,170868426.75,11353104.0
33,57220,961932,106053003.0,6308505.0
34,41578,532192,58674168.0,4583974.5
35,34329,628944,69341076.0,3784772.25
36,55165,754919,83229819.75,6081941.25
37,117007,1530002,168682720.5,12900021.75
38,23575,493289,54385112.25,2599143.75
39,70288,782604,86282091.0,7749252.0
40,9900,530185,58452896.25,1091475.0
41,0,0,0.0,0.0
